"tconst","averageRating","numVotes","primaryTitle","releaseYear","runtimeMinutes","actorID","actorName","actorBirthYear","actorDeathYear","actorCategory","actorAlive","actorAge","directorID","directorName","directorBirthYear","directorDeathYear","directorAlive","directorAge","genre_Drama","genre_Fantasy","genre_Horror","genre_Crime","genre_Adventure","genre_Mystery","genre_Sci-Fi","genre_War","genre_Romance","genre_History","genre_Comedy","genre_Western","genre_Thriller","genre_Action","genre_Musical","genre_Film-Noir","genre_Music","genre_Documentary","genre_Family","genre_Biography","genre_Adult","genre_Sport","genre_Animation","genre_Reality-TV","genre_News"
"tt0003419",6.5,1881,"The Student of Prague",1913,85,"nm0917467","Paul Wegener",1874,1948,"actor",0,39,"nm0753233","Stellan Rye",1880,1914,0,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0003643",6.4,1152,"The Avenging Conscience: or 'Thou Shalt Not Kill'",1914,78,"nm0910400","Henry B. Walthall",1878,1936,"actor",0,36,"nm0000428","D.W. Griffith",1875,1948,0,39,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0004013",5.2,19,"The Ghost Breaker",1914,60,"nm0912478","H.B. Warner",1876,1958,"actor",0,38,"nm0002177","Oscar Apfel",1878,1938,0,36,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0004026",6.8,1060,"The Golem",1915,60,"nm0917467","Paul Wegener",1874,1948,"actor",0,41,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0004121",5.5,64,"Der Hund von Baskerville",1914,65,"nm0627274","Alwin Neuß",1879,1935,"actor",0,35,"nm0576901","Rudolf Meinert",1882,1943,0,32,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0004573",5.2,8,"Ein seltsamer Fall",1914,50,"nm0919225","Hanni Weisse",1892,1967,"actress",0,22,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0005231",3.1,19,"The Hound of the Baskervilles",1915,50,"nm0121112","Eugen Burg",1871,1944,"actor",0,44,"nm2542573","Willy Zeyn",1876,1946,0,39,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0005513",3.6,16,"Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer",1916,NA,"nm0627274","Alwin Neuß",1879,1935,"actor",0,37,"nm0652650","Richard Oswald",1880,1963,0,36,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0005514",3.4,15,"Der Hund von Baskerville, 4. Teil",1916,NA,"nm0627274","Alwin Neuß",1879,1935,"actor",0,37,"nm0652650","Richard Oswald",1880,1963,0,36,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0005529",6.8,282,"Blind Justice",1916,100,"nm0159725","Benjamin Christensen",1879,1959,"actor",0,37,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0005615",6.5,27,"Life Without Soul",1915,70,"nm0169866","William W. Cohill",1882,1931,"actor",0,33,"nm0806961","Joseph W. Smiley",1870,1945,0,45,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
